GenName,Region,Asset Type,Site Name,Owner,Technology Type,Fuel Type,DUID,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId,AEMO KCI Id,Survey Last Requested,Survey Version DateTime
New England Solar Farm - stage 2, NSW1 ,Existing Plant,New England Solar Farm,ACEN AUSTRALIA, Solar PV - Single axis tracking ,Solar - Solar,NEWENSF2,1, 200.00 , 200.00 , 200.00 , 200.00 , 200.00 ,, In Service ,SS,May 2023,2073,,Existing less Announced Withdrawal, Solar ,1854,,May 2025,25-03-2025
Silver City Energy Storage,NSW1,Project,Silver City Energy Storage,A-CAES NSW PTY LTD,Storage - Other,Other - Other,,2,100,100,200,200,200,1600,Anticipated,S,1/12/28 0:00,2058,,Anticipated,Battery Storage,2030,N00133,6/5/25 0:00,5/3/25 12:06
Smithfield BESS,NSW1,Project,Smithfield BESS,Smithfield BESS Pty Limited,Storage - Battery,Other - Other,,36,,2.4,,86.4,86.4,130,Committed,S,1/12/25 0:00,2040,,Committed,Battery Storage,2623,,6/5/25 0:00,19/3/25 15:02
Borumba,QLD1,Project,Borumba,Queensland Hydro,Storage - Pumped hydro,Hydro - Water,,6,333,333,1998,1998,1998,48000,Anticipated,S,1/7/35 0:00,2134,,Anticipated,Water,1921,,6/5/25 0:00,7/3/25 16:08
Aramara Solar Farm,QLD1,Project,Aramara Solar Farm,Aramara Solar Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,,1,,101.4,,101.4,101.4,,Anticipated,SS,1/6/28 0:00,2054,,Anticipated,Solar,1426,,6/5/25 0:00,17/3/25 13:20
Banksia Solar Farm,QLD1,Project,Banksia Solar Farm,Venn Energy Pty / Banksia Solar Project Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,,16,,4.4,,70.4,70.4,,Anticipated,SS,1/1/28 0:00,2058,,Anticipated,Solar,2578,,6/5/25 0:00,19/3/25 15:09
Culcairn Solar Farm,NSW1,Project,Culcairn Solar Farm,Culcairn Solar Farm Pty Ltd as trustee for Culcairn Solar Farm Trust,Solar PV - Single axis tracking,Solar - Solar,CUSF1,111,0,3.15,0.22,349.98,0.22 - 349.98,,Committed,SS,1/8/25 0:00,2060,,Committed,Solar,2630,,6/5/25 0:00,12/3/25 13:55
Cultana Solar Farm,SA1,Project,Cultana Solar Farm,Cultana Solar Project Company Pty Ltd as trustee for the Cultana Solar Farm Trust,Solar PV - Single axis tracking,Solar - Solar,,104,0,3.44,0,357.45,357.45,,Publicly Announced,SS,1/12/29 0:00,2055,,Proposed,Solar,1886,,1/2/25 0:00,6/3/25 9:53
Derby Solar Farm,NSW1,Existing Plant,Beryl Solar Farm,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust,Solar PV - Single axis tracking,Solar - Solar,BERYLSF1,60,1.64,1.64,98.4,98.4,98.4,0,In Service,SS,1/5/19 0:00,2049,,Existing less Announced Withdrawal,Solar,1416,,1/2/25 0:00,11/3/25 9:50
Frasers Solar Farm,VIC1,Project,Frasers Solar Farm,Frasers Lane Development Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,,1,0,77,0,77,77,,Anticipated,SS,1/6/27 0:00,2054,,Anticipated,Solar,1971,,6/5/25 0:00,24/2/25 15:07
Horsham Solar Farm,VIC1,Project,Horsham Solar Farm,ESCO SOLAR FARM 7 PTY LTD,Solar PV - Single axis tracking,Solar - Solar,,36,,3.3,,118.8,118.8,,Committed,SS,1/12/26 0:00,2066,,Committed,Solar,1954,V00027,6/5/25 0:00,20/3/25 14:36
Lockhart Hybrid Facility - Solar,NSW1,Project,Lockhart Hybrid Facility - Solar,Better Energy Technology Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,,1,10,10,10,10,10,,Committed,SS,1/6/26 0:00,2056,,Committed,Solar,2626,,6/5/25 0:00,11/3/25 1:48
Quorn Park Solar Farm, NSW1 ,Project,Quorn Park Solar Hybrid,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar,QPSF,22, 3.96 , 4.40 , 87.12 , 96.80 , 87.12 - 96.80 ,, Committed ,SS,Feb 2026,2055,,Committed, Solar ,1857,,May 2025,18-03-2025
Tilbuster Solar Farm,NSW1,Project,Tilbuster Solar Farm,Enerparc Australia Pty Ltd,Solar PV - Fixed,Solar - Solar,,152,,1.64,,248.82,248.82,,Committed,SS,1/3/27 0:00,2055,,Committed,Solar,1683,N00015,6/5/25 0:00,1/11/24 11:44
MacIntyre Wind Farm,QLD1,Project,MacIntyre Wind Farm,Macintyre Windfarm Pty Ltd and Arc Energy Macintyre Pty Ltd,Wind Turbine - Onshore,Wind - Wind,MCINTYR1,162,5.7,5.7,923.4,923.4,923.4,,Committed*,SS,1/11/25 0:00,2054,,Committed,Wind,1332,Q00006,6/5/25 0:00,26/5/25 16:15
Uungula Wind Farm,NSW1,Project,Uungula Wind Farm,Uungula Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,,69,6,6,414,414,414,,Committed,SS,1/2/28 0:00,2057,,Committed,Wind,1283,N00073,6/5/25 0:00,27/5/25 12:41
Woolsthorpe Wind Farm,VIC1,Project,Woolsthorpe Wind Farm,Woolsthorpe Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,,12,6,6,72,72,72,,Anticipated,SS,1/1/27 0:00,2061,,Anticipated,Wind,1243,,6/5/25 0:00,20/11/24 12:41
Adelaide Desalination Plant BESS,SA1,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation,Storage - Battery,Other - Other,ADPBA1,1,,7.76,,7.76,7.76,12.6,In Service,S,1/5/22 0:00,2041,,Existing less Announced Withdrawal,Battery Storage,1844,,1/2/25 0:00,28/2/25 10:07
Aldoga BESS Stage 1,QLD1,Project,Aldoga BESS Stage 1,Acciona Energy Australia Global,Storage - Battery,Other - Other,,1,200,400,200,400,200.00 - 400.00,400,Anticipated,S,1/12/27 0:00,2049,,Anticipated,Battery Storage,2591,Q00118,6/5/25 0:00,18/3/25 15:37
Ballarat Energy Storage System,VIC1,Existing Plant,Ballarat Energy Storage System,Ausnet Transmission Group Pty Ltd,Storage - Battery,Other - Other,BALB1,1,,30,,30,30,30,In Service,S,,2033,,Existing less Announced Withdrawal,Battery Storage,1469,,1/2/25 0:00,11/3/25 12:27
Blyth BESS,SA1,Existing Plant,Blyth BESS,Blyth Battery P/L as trustee for Blyth Battery Trust,Storage - Battery,Other - Other,BLYTHB1,64,0,3.13,0,200,200,400,In Service,S,1/4/25 0:00,2044,,Existing less Announced Withdrawal,Battery Storage,2248,S00021,6/5/25 0:00,24/3/25 15:57
Bolivar Waste Water Treatment BESS,SA1,Existing Plant,Bolivar Waste Water Treatment,South Australian Water Corporation,Storage - Battery,Other - Other,BOWWBA1,1,,3.08,,3.08,3.08,5.04,In Service,S,1/2/23 0:00,2045,,Existing less Announced Withdrawal,Battery Storage,1393,,1/2/25 0:00,5/3/25 11:09
Bouldercombe Battery project,QLD1,Existing Plant,Bouldercombe Battery project,Genex Power Limited,Storage - Battery,Other - Other,BBATTERY1,40,,1.25,,50,50,100,In Service,S,1/11/23 0:00,2042,,Existing less Announced Withdrawal,Battery Storage,1873,Q00004,1/2/25 0:00,18/3/25 12:47
Broken Hill BESS, NSW1 ,Existing Plant,Broken Hill,MACQGEN, Storage - Battery ,Other - Other,BHB1,1,, 50.00 ,, 50.00 , 50.00 ,50.00, In Service ,S,Jun 2024,2043,,Existing less Announced Withdrawal, Battery Storage ,2172,N00067,Feb 2025,11-03-2025
Bulgana Green Power Hub BESS,VIC1,Existing Plant,Bulgana Green Power Hub - BESS,Bulgana Wind Farm Pty Ltd,Storage - Battery,Other - Other,BULBES1,40,,0.5,,20,20,34,In Service,S,1/11/21 0:00,2049,,Existing less Announced Withdrawal,Battery Storage,1590,,6/5/25 0:00,3/12/24 11:55
Bungama Solar BESS,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Battery,NSW1,Existing Plant,Capital Battery,Capital Battery Pty Ltd,Storage - Battery,Other - Other,CAPBES1,33,0,3.04,0,100.32,100.32,200,In Commissioning,S,1/6/25 0:00,2048,,Existing less Announced Withdrawal,Battery Storage,1890,N00183,6/5/25 0:00,17/3/25 9:10
Chinchilla BESS,QLD1,Existing Plant,Chinchilla BESS,CSE BESS Pty Ltd,Storage - Battery,Other - Other,CHBESS1,1,,100,,100,100,200,In Commissioning,S,1/7/24 0:00,2038,,Existing less Announced Withdrawal,Battery Storage,2031,Q00032,6/5/25 0:00,14/3/25 11:53
Christies Beach Wastewater Treatment Plant BESS,SA1,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation,Storage - Battery,Other - Other,CBWWBA1,1,,2.16,,2.16,2.16,4.32,In Commissioning,S,1/1/23 0:00,2041,,Existing less Announced Withdrawal,Battery Storage,1845,,6/5/25 0:00,7/3/25 14:30
Dalrymple BESS,SA1,Existing Plant,Dalrymple BESS,ElectraNet,Storage - Battery,Other - Other,DALNTH1,12,,2.5,,30,30,9,In Service,S,,2030,,Existing less Announced Withdrawal,Battery Storage,1553,,1/2/25 0:00,11/3/25 10:37
Darlington Point Energy Storage System,NSW1,Existing Plant,Darlington Point Energy Storage System,DPESS Pty Ltd,Storage - Battery,Other - Other,DPNTB1,1,,25,,25,25,50,In Service,S,1/8/23 0:00,2051,,Existing less Announced Withdrawal,Battery Storage,2019,,1/2/25 0:00,11/3/25 12:32
Eraring Big Battery,NSW1,Project,Eraring Big Battery,Origin Energy Electricity Limited,Storage - Battery,Other - Other,,1,,240,,240,240,1030,Anticipated,S,1/4/27 0:00,2057,,Anticipated,Battery Storage,1870,N00140,6/5/25 0:00,9/1/25 12:38
Gannawarra Energy Storage System,VIC1,Existing Plant,Gannawarra Energy Storage System,GESS ProjectCo,Storage - Battery,Other - Other,GANNB1,1,0,25.33,0,25.33,25.33,50,In Service,S,,2033,,Existing less Announced Withdrawal,Battery Storage,1470,,1/2/25 0:00,11/3/25 12:27
Gnarwarre BESS,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Valley Reservoir BESS,SA1,Existing Plant,Happy Valley Reservoir,South Australian Water Corporation,Storage - Battery,Other - Other,HVWWBA1,1,,5.52,,5.52,5.52,8.82,In Service,S,1/12/22 0:00,2041,,Existing less Announced Withdrawal,Battery Storage,1846,,1/2/25 0:00,5/3/25 11:12
Hazelwood BESS,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsdale Power Reserve Unit 1,SA1,Existing Plant,Hornsdale Power Reserve Unit 1,Hornsdale Power Reserve Pty Ltd,Storage - Battery,Other - Other,HPR1,1,,50,,50,50,61.3,In Service,S,1/7/20 0:00,2057,,Existing less Announced Withdrawal,Battery Storage,1610,,6/5/25 0:00,14/3/25 9:44
Koorangie Energy Storage System,VIC1,Existing Plant,Koorangie Energy Storage System,Shell Energy,Storage - Battery,Other - Other,KESSB1,1,,185,,185,185,370,Committed,S,1/6/25 0:00,2055,,Committed,Battery Storage,2173,V00079,6/5/25 0:00,10/12/24 16:23
Lake Bonney BESS,,,,,,,,,,,,,,,,,,,,,,,,,
Liddell BESS,NSW1,Project,Liddell BESS,MACQGEN,Storage - Battery,Other - Other,,1,,500,,500,500,1000,Committed*,S,1/2/26 0:00,2046,,Committed,Battery Storage,2171,,6/5/25 0:00,20/3/25 10:20
Lincoln Gap Wind Farm BESS,,,,,,,,,,,,,,,,,,,,,,,,,
Lockhart Hybrid Facility - Battery,NSW1,Project,Lockhart Hybrid Facility - Battery,Better Energy Technology Pty Ltd,Storage - Battery,Solar - Solar,,1,10,10,10,10,10,20,Committed,S,1/6/26 0:00,2056,,Committed,Battery Storage,2627,,6/5/25 0:00,11/3/25 1:52
Melbourne Renewable Energy Hub - Side A,VIC1,Project,Melbourne Renewable Energy Hub - Side A,MREH Pty Ltd as trustee for MREH Asset Trust,Storage - Battery,Other - Other,,1,600,600,600,600,600,1600,Committed,S,1/11/25 0:00,2050,,Committed,Battery Storage,1859,V00001,6/5/25 0:00,19/3/25 15:14
Mornington BESS,VIC1,Project,Mornington BESS,Mornington BESS Project Pty Ltd as Trustee of Mornington BESS Project Trust,Storage - Battery,Other - Other,,1,,240,,240,240,480,Committed,S,1/2/26 0:00,2046,,Committed,Battery Storage,1945,V00003,6/5/25 0:00,13/3/24 10:48
Mortlake Battery,VIC1,Project,Mortlake Battery,BORAL,Storage - Battery,Other - Other,,1,,300,,300,300,600,Committed*,S,1/3/27 0:00,2056,,Committed,Battery Storage,1882,V00018,6/5/25 0:00,3/4/25 16:39
Mt Fox BESS,,,,,,,,,,,,,,,,,,,,,,,,,
New England Solar Farm BESS,NSW1,Project,New England Solar Farm BESS,ACEN RENEWABLES,Storage - Battery,Other - Other,,1,,100,,100,100,200,Anticipated,S,1/12/26 0:00,2076,,Anticipated,Battery Storage,1893,N00030,6/5/25 0:00,25/3/25 16:06
Orana BESS,NSW1,Project,Orana BESS,Wellington Battery ProjectCo Pty Ltd,Storage - Battery,Other - Other,ORANA,448,0,0.93,0,414.85,414.85,1660,Committed,S,1/6/26 0:00,2066,,Committed,Battery Storage,2015,N00164,6/5/25 0:00,9/3/25 22:24
Philip Island BESS,VIC1,Existing Plant,Philip Island BESS,Mondo Power,Storage - Battery,Other - Other,PIBESS1,1,5,5,5,5,5,10,In Service,S,1/5/23 0:00,2038,,Existing less Announced Withdrawal,Battery Storage,2425,,1/2/25 0:00,7/3/25 13:58
Queanbeyan BESS,NSW1,Existing Plant,Queanbeyan BESS,Berrybank 2 Asset Pty Ltd as Trustee for Berrybank 2 Asset Trust,Storage - Battery,Other - Other,QBYNB1,1,,10,,10,10,20,In Service,S,1/10/22 0:00,2033,,Existing less Announced Withdrawal,Battery Storage,1934,N00010,1/2/25 0:00,13/3/25 12:58
Quorn Park BESS,,,,,,,,,,,,,,,,,,,,,,,,,
Rangebank BESS,VIC1,Existing Plant,Rangebank BESS,Cranbourne BESS Project Co Pty Ltd,Storage - Battery,Other - Other,RANGEB1,1,,200,,200,200,400,In Service,S,1/10/24 0:00,2044,,Existing less Announced Withdrawal,Battery Storage,2460,,1/2/25 0:00,13/3/25 7:44
Richmond Valley BESS,NSW1,Project,Richmond Valley BESS,ARK ENERGY CORPORATION PTY LTD ,Storage - Battery,Other - Other,,1,275,275,275,275,275,2200,Anticipated,S,1/10/26 0:00,,,Anticipated,Battery Storage,2631,,6/5/25 0:00,19/3/25 11:18
Riverina Energy Storage System 1,NSW1,Existing Plant,Riverina Energy Storage System 1,Shell New Energies Australia Pty Ltd,Storage - Battery,Other - Other,RESS1G,1,,60,,60,60,120,In Service,S,1/2/23 0:00,2051,,Existing less Announced Withdrawal,Battery Storage,1936,N00021,1/2/25 0:00,12/3/25 15:09
Riverina Energy Storage System 2,NSW1,Existing Plant,Riverina Energy Storage System 2,RESS 2 Pty Ltd,Storage - Battery,Other - Other,RIVNB2,1,,65,,65,65,130,In Service,S,1/8/23 0:00,2051,,Existing less Announced Withdrawal,Battery Storage,2018,,1/2/25 0:00,11/3/25 12:30
Sapphire Wind Farm BESS,NSW1,Existing Plant,Sapphire Wind Farm,SWF1 Operations Holdings Pty Ltd as trustee for SWF1 Hold Trust,Wind Turbine - Onshore,Wind - Wind,SAPHWF1,75,0,3.6,0,270,270,,In Service,SS,,2043,,Existing less Announced Withdrawal,Wind,1270,,1/2/25 0:00,5/3/25 13:41
Stanwell BESS,QLD1,Project,Stanwell BESS,Stanwell Corporation Limited,Storage - Battery,Other - Other,,1,,300,,300,300,1200,Anticipated,S,1/10/26 0:00,2046,,Anticipated,Battery Storage,1935,Q00023,6/5/25 0:00,8/4/25 16:14
Swanbank BESS,QLD1,Project,Swanbank BESS,CleanCo QLD Limited,Storage - Battery,Other - Other,,1,,250,,250,250,500,Anticipated,S,1/11/25 0:00,2045,,Anticipated,Battery Storage,2407,Q00065,6/5/25 0:00,9/12/24 13:04
Tailem Bend Battery Project,SA1,Project,Tailem Bend Battery Project,Vena Energy,Storage - Battery,Other - Other,TB2BG1,1,,41.5,,41.5,41.5,84,Committed,S,1/1/24 0:00,2048,,Committed,Battery Storage,1735,S00023,6/5/25 0:00,11/12/24 9:33
Tamworth BESS,,,,,,,,,,,,,,,,,,,,,,,,,
Tarong BESS,,,,,,,,,,,,,,,,,,,,,,,,,
Templers BESS,SA1,Existing Plant,Templers BESS,ZEN Energy Future Pty Ltd,Storage - Battery,Other - Other,,1,111,111,111,111,111,291,In Commissioning,S,1/8/25 0:00,2049,,Existing less Announced Withdrawal,Battery Storage,1911,S00017,6/5/25 0:00,26/3/25 15:30
Terang BESS,VIC1,Project,Terang BESS,frv_NR,Storage - Battery,Other - Other,TRGBESS,38,2.63,3.8,99.94,144.4,99.94 - 144.40,200,Anticipated,S,1/6/26 0:00,2056,,Anticipated,Battery Storage,2168,,6/5/25 0:00,21/3/25 13:18
Torrens Island BESS,SA1,Existing Plant,Torrens Island BESS,TIPSCO,Storage - Battery,Other - Other,TIB1,109,,2.3,,250.7,250.7,250,In Service,S,1/8/23 0:00,2043,,Existing less Announced Withdrawal,Battery Storage,1866,,1/2/25 0:00,11/3/25 10:35
Ulinda Park BESS,QLD1,Project,Ulinda Park BESS,Ulinda Park ProjectCo Pty Ltd,Storage - Battery,Other - Other,ULBESS1,52,0,2.98,0,154.96,154.96,298,Committed,S,1/12/25 0:00,2065,,Committed,Battery Storage,2016,Q00087,6/5/25 0:00,9/3/25 22:25
Victorian Big Battery,VIC1,Existing Plant,Victorian Big Battery,Victorian Big Battery Pty Ltd,Storage - Battery,Other - Other,VBB1,1,,300,,300,300,470,In Service,S,1/12/21 0:00,2041,,Existing less Announced Withdrawal,Battery Storage,1864,,6/5/25 0:00,26/3/25 15:28
Wallgrove Grid Battery project,NSW1,Existing Plant,Wallgrove Grid Battery project,TransGrid,Storage - Battery,Other - Other,WALGRV1,1,50,50,50,50,50,75,In Service,S,1/12/21 0:00,2036,,Existing less Announced Withdrawal,Battery Storage,1874,N00006,1/2/25 0:00,19/3/25 15:05
Wandoan South BESS,QLD1,Existing Plant,Wandoan South BESS,Vena Evergy,Storage - Battery,Other - Other,WANDB1,1,,100,,100,100,150,In Service,S,1/7/22 0:00,2051,,Existing less Announced Withdrawal,Battery Storage,1762,,1/2/25 0:00,18/3/25 13:07
Waratah Super Battery,NSW1,Project,Waratah Super Battery,Munmorah Battery ProjectCo Pty Ltd,Storage - Battery,Other - Other,WTAHB1,288,0,2.95,0,850.18,850.18,1680,Committed,S,1/8/25 0:00,2065,,Committed,Battery Storage,2220,N00091,6/5/25 0:00,9/3/25 22:26
Western Downs Battery,,,,,,,,,,,,,,,,,,,,,,,,,
Wooreen Energy Storage System,VIC1,Project,Wooreen Energy Storage System,EnergyAustralia Holdings Limited,Storage - Battery,Other - Other,,1,,350,,350,350,1400,Committed*,S,1/12/27 0:00,,,Committed,Battery Storage,1876,V00122,6/5/25 0:00,11/3/25 12:08
Kurri Kurri OCGT,,,,,,,,,,,,,,,,,,,,,,,,,
Tallawarra B*,NSW1,Existing Plant,Tallawarra B,EnergyAustralia Tallawarra Pty Ltd ,Turbine - OCGT,Fossil - Natural Gas Pipeline,TALWB1,1,320,320,320,320,320,,In Service,S,1/6/24 0:00,2053,,Existing less Announced Withdrawal,OCGT,1193,,1/2/25 0:00,11/3/25 12:24
Kidston ,,,,,,,,,,,,,,,,,,,,,,,,,
Snowy 2.0,NSW1,Project,Snowy 2.0.,Snowy Hydro Ltd,Storage - Pumped hydro,Hydro - Water,,2,,366,,732,732,116660,Committed¹ ,S,1/12/28 0:00,2129,,Committed,Water,1752,,6/5/25 0:00,2/4/25 10:08
Girgarre Solar Farm,VIC1,Existing Plant,Girgarre Solar Farm,Giragarre Solar Farm Pty Ltd as trustee for Giragarre Solar Farm Trust,Solar PV - Single axis tracking,Solar - Solar,GIRGSF,57,1.64,1.64,93.48,93.48,93.48,,In Commissioning,SS,1/3/25 0:00,2054,,Existing less Announced Withdrawal,Solar,1982,,6/5/25 0:00,12/3/25 8:07
Glenrowan Solar Farm,VIC1,Existing Plant,Glenrowan Solar Farm,Glenrowan Solar Farm Pty Ltd as trustee for Glenrowan Solar Farm Trust,Solar PV - Single axis tracking,Solar - Solar,GLENSF1,30,,4.2,,126,126,,In Service,SS,1/2/24 0:00,2053,,Existing less Announced Withdrawal,Solar,1623,,6/5/25 0:00,7/3/25 13:46
Mannum Solar Farm 2*,SA1,Existing Plant,Mannum Solar Farm 2,Mannum Stage 2 SubCo Pty Ltd as trustee for the Mannum Stage 2 Unit Trust,Solar PV - Single axis tracking,Solar - Solar,MANNSF2,11,,2.73,,29.99,29.99,,In Commissioning,SS,1/12/24 0:00,2058,,Existing less Announced Withdrawal,Solar,2410,,6/5/25 0:00,12/3/25 12:55
Metz Solar Farm,NSW1,Existing Plant,Metz Solar Farm,Metz ProjectCo Pty Ltd as trustee for Metz ProjectCo Trust ,Solar PV - Single axis tracking,Solar - Solar,METZSF1,54,0,2.5,0,135,135,,In Service,SS,1/4/23 0:00,2052,,Existing less Announced Withdrawal,Solar,1628,,1/2/25 0:00,27/3/25 15:37
Riverina Solar Farm,NSW1,Project,Riverina Solar Farm,Riverina Solar Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,,360,,0.09,,32.4,32.4,,Committed,SS,1/3/28 0:00,2047,,Committed,Solar,1415,,6/5/25 0:00,9/4/25 6:11
Sebastopol Solar Farm,NSW1,Existing Plant,Sebastopol Solar Farm,Sebastopol Asset Co Pty Ltd ATF Sebastopol Asset Trust,Solar PV - Single axis tracking,Solar - Solar,SEBSF1,40,0,2.25,0,90,90,,In Service,SS,1/1/23 0:00,2052,,Existing less Announced Withdrawal,Solar,1927,,1/2/25 0:00,27/3/25 15:39
Stubbo Solar Farm,NSW1,Existing Plant,Stubbo Solar Farm,ACEN AUSTRALIA,Solar PV - Single axis tracking,Solar - Solar,STUBSF1,1,198,198,198,198,198,,In Commissioning,SS,1/12/24 0:00,2073,,Existing less Announced Withdrawal,Solar,1894,N00017,6/5/25 0:00,18/3/25 15:56
Walla Walla Solar Farm,NSW1,Project,Walla Walla Solar Farm,FRV Australia (Walla Walla Asset Co Pty Ltd (ACN 634 728 868) as trustee for the Walla Walla Asset Trust),Solar PV - Single axis tracking,Solar - Solar,WLWLSF1,48,,3.17,,151.97,151.97,,In Commissioning,SS,1/3/25 0:00,2054,,Existing less Announced Withdrawal,Solar,1712,,6/5/25 0:00,21/3/25 13:17
Wandoan South Solar Farm - stage 1,QLD1,Existing Plant,Wandoan South Solar Stage 1,Vena Evergy,Solar PV - Single axis tracking,Solar - Solar,WANDSF1,1,160,160,160,160,160,,In Commissioning,SS,1/8/23 0:00,2053,,Existing less Announced Withdrawal,Solar,1455,Q00007,6/5/25 0:00,18/3/25 13:13
Wellington North Solar Farm (Lightsource),NSW1,Existing Plant,Wellington North Solar Farm (Lightsource),Wellington North Solar Farm Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WELNSF1,104,,4.2,,436.8,436.8,,In Service,SS,1/10/24 0:00,2064,,Existing less Announced Withdrawal,Solar,1960,N00047,1/2/25 0:00,1/4/25 6:15
Wollar Solar Farm,NSW1,Project,Wollar Solar Farm,Wollar Solar Development Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WOLARSF1,1,0,280,0,280,280,,Committed,SS,1/5/25 0:00,2054,,Committed,Solar,1716,,6/5/25 0:00,10/3/25 12:17
Woolooga Solar Farm,QLD1,Existing Plant,Woolooga Solar Farm,Woolooga Fund Pty Ltd,Solar PV - Single axis tracking,Solar - Solar,WOOLGSF1,89,,2.5,,222.5,222.5,,In Service,SS,1/9/22 0:00,2058,,Existing less Announced Withdrawal,Solar,1672,,1/2/25 0:00,31/3/25 22:35
