Generator,Region,Installed capacity (MW)
Dundonnell Wind Farm,VIC,336
Elaine Wind Farm,VIC,84
Granville Harbour Wind Farm,TAS,112
Gullen Range Wind Farm,NSW,166
Gullen Range Wind Farm 2,NSW,111
Gunning Wind Farm,NSW,47
Hallett 4 North Brown Hill Wind Farm,SA,132
Hallett 5 The Bluff Wind Farm,SA,53
Hallett Stage 1 Brown Hill Wind Farm,SA,95
Hallett Stage 2 Hallett Hill Wind Farm,SA,71
Hornsdale Wind Farm Stage 1,SA,102
Hornsdale Wind Farm Stage 2,SA,102
Hornsdale Wind Farm Stage 3,SA,112
Kaban Green Power Hub - Wind Farm,QLD,157
Kennedy Energy Park Wind Farm,QLD,43
Kiata Wind Farm,VIC,31
Lake Bonney 1 Wind Farm,SA,81
Lake Bonney 2 Wind Farm,SA,159
Lake Bonney 3 Wind Farm,SA,39
Lincoln Gap Wind Farm - stage 2,SA,86
Lincoln Gap Wind Farm - stage 1,SA,126
Macarthur Wind Farm,VIC,420
Moorabool Wind Farm,VIC,312
Mortlake South Wind Farm,VIC,158
Mortons Lane Wind Farm,VIC,20
Mount Emerald Wind Farm,QLD,181
Mount Millar Wind Farm,SA,72
Mt Gellibrand Wind Farm,VIC,139
Mt Mercer Wind Farm,VIC,131
Murra Warra Wind Farm - stage 1,VIC,226
Murra Warra Wind Farm - stage 2,VIC,209
Musselroe Wind Farm,TAS,168
Oaklands Hill Wind Farm,VIC,67
Port Augusta Renewable Energy Park - Wind,SA,210
Portland Wind Farm,VIC,152
Salt Creek Wind Farm,VIC,54
Sapphire Wind Farm,NSW,270
Silverton Wind Farm,NSW,199
Snowtown S2 Wind Farm,SA,270
Snowtown Wind Farm,SA,99
Starfish Hill Wind Farm,SA,33
Stockyard Hill Wind Farm,VIC,528
Taralga Wind Farm,NSW,107
Waterloo Wind Farm,SA,131
Wattle Point Wind Farm,SA,91
Waubra Wind Farm,VIC,192
White Rock Wind Farm - Stage 1,NSW,172
Willogoleche Wind Farm,SA,119
Woodlawn Wind Farm,NSW,48
Woolnorth Wind Farm,TAS,140
Yaloak South Wind Farm,VIC,29
Yambuk Wind Farm,VIC,30
Yendon Wind Farm,VIC,144
Kurri Kurri OCGT,NSW,750
Tallawarra B,NSW,320
Kidston,QLD,250
Snowy 2.0,NSW,2200
Girgarre Solar Farm,VIC,93
Glenrowan Solar Farm,VIC,127
Mannum Solar Farm 2,SA,30
Metz Solar Farm,NSW,135
Riverina Solar Farm,NSW,32
Sebastopol Solar Farm,NSW,90
Stubbo Solar Farm,NSW,400
Walla Walla Solar Farm,NSW,304
Wandoan South Solar Farm - stage 1,QLD,160
Wellington North Solar Farm (Lightsource),NSW,437
Wollar Solar Farm,NSW,280
Woolooga Solar Farm,QLD,223
Wunghnu Solar Farm,VIC,94
Clarke Creek Wind Farm,QLD,450
Crookwell 3 Wind Farm,NSW,58
Flyers Creek Wind Farm,NSW,146
Golden Plains Wind Farm East,VIC,756
Goyder South Wind Farm 1A,SA,209
Goyder South Wind Farm 1B,SA,204
Hawkesdale Wind Farm,VIC,97
Ryan Corner Wind Farm,VIC,218
Rye Park Wind Farm,NSW,396
Wambo Wind Farm,QLD,252
Borumba,QLD,1998
Aramara Solar Farm,QLD,101
Banksia Solar Farm,QLD,60
Culcairn Solar Farm,NSW,350
Cultana Solar Farm,SA,357
Derby Solar Farm,VIC,95
Frasers Solar Farm,VIC,77
Horsham Solar Farm,VIC,119
Lockhart Hybrid Facility - Solar,NSW,10
Quorn Park Solar Farm,NSW,97
Tamworth Solar Farm,NSW,65
Tilbuster Solar Farm,NSW,249
MacIntyre Wind Farm,QLD,923
Uungula Wind Farm,NSW,414
Woolsthorpe Wind Farm,VIC,73
Coppabella Wind Farm,NSW,290
Derby Solar Project BESS,VIC,85
Fulham Solar Farm BESS,VIC,65
Fulham Solar Farm,VIC,101
Goulburn River BESS,NSW,49
Horsham Solar Farm BESS,VIC,50
Kiamal Solar Farm – Stage 2,VIC,150
Kiamal Solar Farm – Stage 2 BESS,VIC,150
Kogan Gas,QLD,200
Limondale BESS,NSW,50
New England Solar Farm - stage 2,NSW,320
Silver City Energy Storage,NSW,200
Smithfield BESS,NSW,65
Adelaide Desalination Plant BESS,SA,6
Aldoga BESS Stage 1,QLD,400
Ballarat Energy Storage System,VIC,30
Blyth BESS,SA,200
Bolivar Waste Water Treatment BESS,SA,2
Bouldercombe Battery project,QLD,50
Broken Hill BESS,NSW,50
Bulgana Green Power Hub BESS,VIC,20
Bungama Solar BESS,SA,150
Capital Battery,NSW,100
Chinchilla BESS,QLD,100
Christies Beach Wastewater Treatment Plant BESS,SA,2
Dalrymple BESS,SA,30
Darlington Point Energy Storage System,NSW,25
Eraring Big Battery,NSW,460
Gannawarra Energy Storage System,VIC,25
Gnarwarre BESS,VIC,290
Happy Valley Reservoir BESS,SA,4
Hazelwood BESS,VIC,200
Hornsdale Power Reserve Unit 1,SA,150
Koorangie Energy Storage System,VIC,185
Lake Bonney BESS,SA,25
Liddell BESS,NSW,500
Lincoln Gap Wind Farm BESS,SA,10
Lockhart Hybrid Facility - Battery,NSW,10
Melbourne Renewable Energy Hub - Side A,VIC,600
Mornington BESS,VIC,240
Mortlake Battery,VIC,300
Mt Fox BESS,QLD,300
New England Solar Farm BESS,NSW,200
Orana BESS,NSW,408
Philip Island BESS,VIC,5
Queanbeyan BESS,NSW,10
Quorn Park BESS,NSW,28
Rangebank BESS,VIC,200
Richmond Valley BESS,NSW,275
Riverina Energy Storage System 1,NSW,60
Riverina Energy Storage System 2,NSW,65
Sapphire Wind Farm BESS,NSW,30
Stanwell BESS,QLD,150
Swanbank BESS,QLD,250
Tailem Bend Battery Project,SA,42
Tamworth BESS,NSW,200
Tarong BESS,QLD,300
Templers BESS,SA,111
Terang BESS,VIC,102
Torrens Island BESS,SA,251
Ulinda Park BESS,QLD,155
Victorian Big Battery,VIC,300
Wallgrove Grid Battery project,NSW,50
Wandoan South BESS,QLD,100
Waratah Super Battery,NSW,850
Western Downs Battery,QLD,336
Wooreen Energy Storage System,VIC,350
